time,normEDA,normHRV,normHR,s_instant,s_t,height
9249.0000,44.0253,25.3851,2.3596,30.1001,30.2684,
9250.0000,44.0253,25.3851,2.3596,30.1001,30.2579,
9251.0000,43.8183,25.3851,2.3596,29.9966,30.2469,
9252.0000,43.8804,25.3851,2.3596,30.0276,30.2352,
9253.0000,43.8804,25.3851,2.3596,30.0276,30.2244,
9254.0000,43.7019,25.3851,2.3596,29.9384,30.2117,
9255.0000,43.8105,25.3851,2.3596,29.9927,30.1998,
9256.0000,43.5932,25.1184,2.4271,29.8175,30.1867,
9257.0000,43.6656,25.1184,2.4271,29.8538,30.1738,
9258.0000,43.5932,25.1184,2.4271,29.8175,30.1621,
9259.0000,43.5932,25.1184,2.4271,29.8175,30.1482,
9260.0000,43.5233,25.1184,2.4271,29.7826,30.1358,
9261.0000,43.3966,25.1184,2.4271,29.7192,30.1223,
9262.0000,43.4509,25.1184,2.4271,29.7464,30.1096,
9263.0000,43.3164,25.1184,2.4271,29.6791,30.0971,
9264.0000,43.3060,25.1184,2.4271,29.6739,30.0839,
9265.0000,43.4587,25.1184,2.4271,29.7503,30.0728,
9266.0000,43.1456,25.1184,2.4271,29.5937,30.0582,
9267.0000,43.2362,25.1184,2.4271,29.6390,30.0456,
9268.0000,43.0007,25.1184,2.4271,29.5213,30.0315,
9269.0000,43.1637,25.1184,2.4271,29.6028,30.0186,
9270.0000,42.9852,25.1184,2.4271,29.5135,30.0056,
9271.0000,43.0188,25.1184,2.4271,29.5304,29.9921,
9272.0000,42.9127,24.6495,2.0216,29.2556,29.9743,
9273.0000,42.8403,24.6495,2.0216,29.2193,29.9558,
9274.0000,42.8403,24.6495,2.0216,29.2193,29.9346,
9275.0000,42.7316,24.6495,2.0216,29.1650,29.9129,
9276.0000,42.9309,24.6495,2.0216,29.2646,29.8922,
9277.0000,42.5712,24.6495,2.0216,29.0848,29.8704,
9278.0000,42.6980,24.6495,2.0216,29.1482,29.8481,
9279.0000,42.6256,24.6495,2.0216,29.1120,29.8272,
9280.0000,42.5712,24.6495,2.0216,29.0848,29.8055,
9281.0000,42.6618,24.6495,2.0216,29.1301,29.7851,
9282.0000,42.4108,24.6495,2.0216,29.0046,29.7638,
9283.0000,42.6256,24.6495,2.0216,29.1120,29.7429,
9284.0000,42.4626,24.6495,2.0216,29.0305,29.7229,
9285.0000,42.3384,24.6495,2.0216,28.9684,29.7006,
9286.0000,42.4186,24.6495,2.0216,29.0085,29.6803,
9287.0000,42.1935,24.6495,2.0216,28.8959,29.6576,
9288.0000,42.3203,24.6495,2.0216,28.9593,29.6362,
9289.0000,42.0874,24.6495,2.0216,28.8429,29.6138,
9290.0000,42.1935,24.6495,2.0216,28.8959,29.5847,
