timestamp,phase,smooth_eda,smooth_hr,smooth_hrv
2026-05-25 15:46:01.372,LIVE,12.6455,90.4977,20.0571
2026-05-25 15:46:01.403,LIVE,12.6453,90.4977,20.0571
2026-05-25 15:46:01.434,LIVE,12.6452,90.4977,20.0571
2026-05-25 15:46:01.465,LIVE,12.6452,90.4977,20.0571
2026-05-25 15:46:01.496,LIVE,12.6451,90.4977,20.0571
2026-05-25 15:46:01.527,LIVE,12.645,90.4977,20.0571
2026-05-25 15:46:01.558,LIVE,12.6447,90.4977,20.0571
2026-05-25 15:46:01.590,LIVE,12.6446,90.4977,20.0571
2026-05-25 15:46:01.620,LIVE,12.6444,90.4977,20.0571
2026-05-25 15:46:01.651,LIVE,12.6443,90.4977,20.0571
2026-05-25 15:46:01.682,LIVE,12.6442,90.4977,20.0571
2026-05-25 15:46:01.714,LIVE,12.644,90.4977,20.0571
2026-05-25 15:46:01.744,LIVE,12.6439,90.4977,20.0571
2026-05-25 15:46:01.776,LIVE,12.644,90.4977,20.0571
2026-05-25 15:46:01.807,LIVE,12.6439,90.4977,20.0571
2026-05-25 15:46:01.839,LIVE,12.6438,90.4977,20.0571
2026-05-25 15:46:01.869,LIVE,12.6437,90.4977,20.0571
2026-05-25 15:46:01.899,LIVE,12.6436,90.4977,20.0571
2026-05-25 15:46:01.930,LIVE,12.6437,90.4977,20.0571
2026-05-25 15:46:01.962,LIVE,12.6437,90.4977,20.0571
2026-05-25 15:46:01.993,LIVE,12.6438,90.4977,20.0571
2026-05-25 15:46:02.025,LIVE,12.6438,90.4977,20.0571
2026-05-25 15:46:02.056,LIVE,12.6436,90.4977,20.0571
2026-05-25 15:46:02.088,LIVE,12.6434,90.4977,20.0571
2026-05-25 15:46:02.119,LIVE,12.6433,90.4977,20.0571
2026-05-25 15:46:02.149,LIVE,12.6431,90.4977,20.0571
2026-05-25 15:46:02.180,LIVE,12.6428,90.4977,20.0571
2026-05-25 15:46:02.211,LIVE,12.6426,90.4977,20.0571
2026-05-25 15:46:02.243,LIVE,12.6425,90.4977,20.0571
2026-05-25 15:46:02.275,LIVE,12.6425,90.4977,20.0571
2026-05-25 15:46:02.305,LIVE,12.6424,90.4977,20.0571
2026-05-25 15:46:02.336,LIVE,12.6423,90.4977,20.0571
2026-05-25 15:46:02.367,LIVE,12.6424,90.4977,20.0571
2026-05-25 15:46:02.399,LIVE,12.6424,90.4977,20.0571
2026-05-25 15:46:02.430,LIVE,12.6424,90.4977,20.0571
2026-05-25 15:46:02.462,LIVE,12.6425,90.4977,20.0571
2026-05-25 15:46:02.494,LIVE,12.6426,90.4977,20.0571
2026-05-25 15:46:02.524,LIVE,12.6429,90.4977,20.0571
2026-05-25 15:46:02.555,LIVE,12.6429,90.4977,20.0571
2026-05-25 15:46:02.585,LIVE,12.6431,90.4977,20.0571
2026-05-25 15:46:02.616,LIVE,12.6432,90.4977,20.0571
2026-05-25 15:46:02.647,LIVE,12.6433,90.4977,20.0571
2026-05-25 15:46:02.677,LIVE,12.6434,90.4977,20.0571
