tick_n,phase,status,raw_eda,raw_hr,raw_hrv,smooth_eda,smooth_hr,smooth_hrv
177,LIVE,NEW_DATA,5.2688,94.4938,36.8745,5.2688,94.4938,36.8745
178,LIVE,NEW_DATA,6.1000,94.5848,36.7312,6.1000,94.5848,36.7312
179,LIVE,NEW_DATA,6.6293,94.1414,37.4067,6.6293,94.1414,37.4067
180,LIVE,NEW_DATA,5.1596,93.7952,37.7502,5.1596,93.7952,37.7502
181,LIVE,NEW_DATA,6.5613,93.8150,37.5881,6.5613,93.8150,37.5881
182,LIVE,NEW_DATA,6.6105,93.9771,37.5095,6.6105,93.9771,37.5095
183,LIVE,NEW_DATA,5.1852,94.4036,37.3757,5.1852,94.4036,37.3757
184,LIVE,NEW_DATA,5.6735,94.8493,37.3718,5.6735,94.8493,37.3718
185,LIVE,NEW_DATA,6.4087,95.4368,37.4798,6.4087,95.4368,37.4798
186,LIVE,NEW_DATA,5.3142,95.8505,37.2896,5.3142,95.8505,37.2896
187,LIVE,NEW_DATA,5.2754,95.8258,37.4816,5.2754,95.8258,37.4816
188,LIVE,NEW_DATA,6.5654,95.5178,37.1378,6.5654,95.5178,37.1378
189,LIVE,NEW_DATA,5.9967,95.3699,36.7745,5.9967,95.3699,36.7745
190,LIVE,NEW_DATA,5.1190,95.2248,36.9265,5.1190,95.2248,36.9265
191,LIVE,NEW_DATA,6.3456,95.3037,36.8914,6.3456,95.3037,36.8914
192,LIVE,NEW_DATA,6.5835,94.7791,37.6837,6.5835,94.7791,37.6837
193,LIVE,NEW_DATA,6.3001,94.0254,37.9991,6.3001,94.0254,37.9991
194,LIVE,NEW_DATA,5.1498,93.7893,37.9555,5.1498,93.7893,37.9555
195,LIVE,NEW_DATA,5.1065,93.6557,37.8518,5.1065,93.6557,37.8518
196,LIVE,NEW_DATA,5.3988,93.3951,37.6888,5.3988,93.3951,37.6888
197,LIVE,NEW_DATA,6.5044,93.1022,37.2252,6.5044,93.1022,37.2252
198,LIVE,NEW_DATA,5.9124,93.2026,37.0652,5.9124,93.2026,37.0652
199,LIVE,NEW_DATA,4.9407,93.3390,34.6872,4.9407,93.3390,34.6872
200,LIVE,NEW_DATA,4.9348,93.8282,34.2873,4.9348,93.8282,34.2873
201,LIVE,NEW_DATA,5.4339,94.4802,34.3911,5.4339,94.4802,34.3911
202,LIVE,NEW_DATA,6.1538,94.1897,33.9921,6.1538,94.1897,33.9921
203,LIVE,NEW_DATA,6.3241,94.2633,34.0427,6.3241,94.2633,34.0427
204,LIVE,NEW_DATA,6.2062,94.2146,33.8200,6.2062,94.2146,33.8200
205,LIVE,NEW_DATA,5.3035,94.1630,33.9890,5.3035,94.1630,33.9890
206,LIVE,NEW_DATA,5.6471,93.8521,32.8845,5.6471,93.8521,32.8845
207,LIVE,NEW_DATA,6.3809,93.7334,32.4603,6.3809,93.7334,32.4603
208,LIVE,NEW_DATA,6.0702,93.8790,32.4759,6.0702,93.8790,32.4759
209,LIVE,NEW_DATA,5.3132,94.1056,32.4491,5.3132,94.1056,32.4491
210,LIVE,NEW_DATA,7.0496,94.1819,32.6298,7.0496,94.1819,32.6298
211,LIVE,NEW_DATA,6.9303,93.5000,34.2473,6.9303,93.5000,34.2473
212,LIVE,NEW_DATA,5.6894,93.2905,35.8707,5.6894,93.2905,35.8707
213,LIVE,NEW_DATA,7.2909,92.8476,34.5317,7.2909,92.8476,34.5317
214,LIVE,NEW_DATA,7.2094,92.0373,34.1311,7.2094,92.0373,34.1311
215,LIVE,NEW_DATA,5.8947,91.5679,34.1362,5.8947,91.5679,34.1362
216,LIVE,NEW_DATA,7.4643,91.1107,34.3863,7.4643,91.1107,34.3863
217,LIVE,NEW_DATA,7.7060,90.7517,34.7498,7.7060,90.7517,34.7498
218,LIVE,NEW_DATA,7.3416,90.4640,34.8370,7.3416,90.4640,34.8370
219,LIVE,NEW_DATA,6.3241,90.3548,34.8396,6.3241,90.3548,34.8396
220,LIVE,NEW_DATA,6.6577,89.9892,34.8844,6.6577,89.9892,34.8844
221,LIVE,NEW_DATA,7.6880,90.1830,34.8722,7.6880,90.1830,34.8722
222,LIVE,NEW_DATA,6.4295,90.8506,35.2093,6.4295,90.8506,35.2093
223,LIVE,NEW_DATA,7.1196,91.4717,33.6501,7.1196,91.4717,33.6501
224,LIVE,NEW_DATA,6.6892,91.6604,33.7658,6.6892,91.6604,33.7658
225,LIVE,NEW_DATA,6.4475,91.7659,33.5261,6.4475,91.7659,33.5261
226,LIVE,NEW_DATA,6.5987,91.8850,33.5784,6.5987,91.8850,33.5784
227,LIVE,NEW_DATA,7.0787,91.5704,33.5756,7.0787,91.5704,33.5756
228,LIVE,NEW_DATA,6.5752,91.2299,33.6474,6.5752,91.2299,33.6474
229,LIVE,NEW_DATA,7.7320,91.4973,33.4557,7.7320,91.4973,33.4557
230,LIVE,NEW_DATA,6.3962,92.0041,33.2672,6.3962,92.0041,33.2672
231,LIVE,NEW_DATA,8.0150,93.4146,30.3985,8.0150,93.4146,30.3985
232,LIVE,NEW_DATA,8.0851,93.8999,30.0774,8.0851,93.8999,30.0774
233,LIVE,NEW_DATA,7.1300,94.1786,29.6481,7.1300,94.1786,29.6481
234,LIVE,NEW_DATA,7.8465,94.4261,29.3842,7.8465,94.4261,29.3842
235,LIVE,NEW_DATA,8.0941,94.6219,29.4333,8.0941,94.6219,29.4333
236,LIVE,NEW_DATA,7.8767,94.7484,28.5500,7.8767,94.7484,28.5500
237,LIVE,NEW_DATA,6.5804,95.1925,28.3151,6.5804,95.1925,28.3151
238,LIVE,NEW_DATA,6.7492,95.6075,28.1788,6.7492,95.6075,28.1788
239,LIVE,NEW_DATA,7.7071,96.1332,28.0944,7.7071,96.1332,28.0944
240,LIVE,NEW_DATA,8.5630,97.1353,27.6223,8.5630,97.1353,27.6223
241,LIVE,NEW_DATA,6.9136,97.8006,27.6193,6.9136,97.8006,27.6193
242,LIVE,NEW_DATA,8.2512,98.5093,28.0839,8.2512,98.5093,28.0839
243,LIVE,NEW_DATA,6.8588,98.5093,29.1555,6.8588,98.5093,29.1555
244,LIVE,NEW_DATA,8.1856,98.3518,29.3187,8.1856,98.3518,29.3187
245,LIVE,NEW_DATA,6.7513,98.1402,29.7620,6.7513,98.1402,29.7620
246,LIVE,NEW_DATA,6.7687,97.5725,30.4835,6.7687,97.5725,30.4835
247,LIVE,NEW_DATA,7.5919,97.6009,31.0094,7.5919,97.6009,31.0094
248,LIVE,NEW_DATA,7.2209,97.7569,31.9967,7.2209,97.7569,31.9967
249,LIVE,NEW_DATA,6.8765,98.7524,31.0637,6.8765,98.7524,31.0637
250,LIVE,NEW_DATA,7.0069,98.7310,31.3259,7.0069,98.7310,31.3259
251,LIVE,NEW_DATA,6.9996,99.0678,31.2892,6.9996,99.0678,31.2892
252,LIVE,NEW_DATA,7.0586,99.3833,31.2848,7.0586,99.3833,31.2848
253,LIVE,NEW_DATA,8.2245,99.1677,31.3084,8.2245,99.1677,31.3084
254,LIVE,NEW_DATA,8.2439,98.7352,31.4599,8.2439,98.7352,31.4599
255,LIVE,NEW_DATA,7.0967,99.0085,31.6938,7.0967,99.0085,31.6938
256,LIVE,NEW_DATA,7.7307,99.1957,31.7884,7.7307,99.1957,31.7884
257,LIVE,NEW_DATA,7.9477,98.8239,32.7345,7.9477,98.8239,32.7345
258,LIVE,NEW_DATA,8.7613,99.8517,32.6079,8.7613,99.8517,32.6079
259,LIVE,NEW_DATA,7.6173,99.3243,32.7947,7.6173,99.3243,32.7947
260,LIVE,NEW_DATA,8.8827,98.7121,32.6483,8.8827,98.7121,32.6483
261,LIVE,NEW_DATA,7.6003,98.6839,32.9147,7.6003,98.6839,32.9147
262,LIVE,NEW_DATA,7.8250,98.9692,32.5941,7.8250,98.9692,32.5941
263,LIVE,NEW_DATA,8.1069,99.1646,32.4423,8.1069,99.1646,32.4423
264,LIVE,NEW_DATA,7.8347,99.3838,32.3374,7.8347,99.3838,32.3374
265,LIVE,NEW_DATA,9.2226,98.8445,32.4435,9.2226,98.8445,32.4435
266,LIVE,NEW_DATA,9.7566,98.3066,34.0807,9.7566,98.3066,34.0807
267,LIVE,NEW_DATA,8.8504,97.6289,33.8920,8.8504,97.6289,33.8920
268,LIVE,NEW_DATA,8.1732,97.4699,32.2332,8.1732,97.4699,32.2332
269,LIVE,NEW_DATA,9.2434,97.1839,30.4748,9.2434,97.1839,30.4748
270,LIVE,NEW_DATA,9.1983,97.1879,30.2855,9.1983,97.1879,30.2855
271,LIVE,NEW_DATA,8.1267,97.5623,30.5102,8.1267,97.5623,30.5102
272,LIVE,NEW_DATA,8.6171,98.1033,30.9305,8.6171,98.1033,30.9305
273,LIVE,NEW_DATA,8.5897,98.6835,31.1187,8.5897,98.6835,31.1187
274,LIVE,NEW_DATA,9.4112,99.1111,31.0411,9.4112,99.1111,31.0411
275,LIVE,NEW_DATA,9.7920,99.4822,31.3716,9.7920,99.4822,31.3716
276,LIVE,NEW_DATA,9.7101,98.7159,31.8897,9.7101,98.7159,31.8897
